,Unnamed: 0,0,1,topics
0,0,artificial intelligence ai has the potential to change the way we live and work,0,4
1,1,embedding ai across all sectors has the potential to create thousands of jobs and drive economic growth,0,0
2,2,by one estimate ais contribution to the united kingdom could be as large as  of gdp by,0,2
3,3,a number of public sector organisations are already successfully using ai for tasks ranging from fraud detection to answering customer queries,0,0
4,4,the potential uses for ai in the public sector are significant but have to be balanced with ethical fairness and safety considerations,0,16
5,5,national grid has turned to ai to help it maintain the wires and pylons that transmit electricity from power stations to homes and businesses across the uk,0,4
6,6,the firm has been using six drones for the past two years to help inspect its  miles of overhead lines around england and wales,0,25
7,7,equipped with high res still video and infrared cameras the drones are deployed to assess the steelwork wear and corrosion and faults such as damaged conductors,0,25
8,8,ai and drones turn an eye towards uks energy infrastructure,0,25
9,9,the government has set up two funds to support the development and uptake of ai systems,0,2
10,10,govtech catalyst to help public sector bodies take advantage of emerging technologies,0,17
11,11,regulators pioneer fund to help regulators promote cuttingedge regulatory practices when developing emerging technologies,0,8
12,12,recognising ais potential the governments industrial strategy white paper placed ai and data as one of four grand challenges supported by up to m in the ai sector deal,0,2
13,13,the government has set up three new bodies to support the use of ai build the right infrastructure and facilitate public and private sector adoption of these technologies,0,2
14,14,these three new bodies are the ai council an expert committee of independent members providing highlevel leadership on implementing the ai sector deal,0,19
15,15,office for ai which works with industry academia and the third sector to coordinate and oversee the implementation of the uks ai strategy,0,2
16,16,centre for data ethics and innovation which identifies the measures needed to make sure the development of ai is safe ethical and innovative,0,16
17,17,at its core ai is a research field spanning philosophy logic statistics computer science mathematics neuroscience linguistics cognitive psychology and economics,0,4
18,18,ai can be defined as the use of digital technology to create systems capable of performing tasks commonly thought to require intelligence,0,4
19,19,ai is constantly evolving but generally it involves machines using statistics to find patterns in large amounts of data,0,4
20,20,is the ability to perform repetitive tasks with data without the need for constant human guidance,0,9
21,21,there are many new concepts used in the field of ai and you may find it useful to refer to a glossary of ai terms,0,4
22,22,this guidance mostly discusses machine learning,0,13
23,23,machine learning is a subset of ai and refers to the development of digital systems that improve their performance on a given task over time through experience,0,13
24,24,machine learning is the most widely used form of ai and has contributed to innovations like selfdriving cars speech recognition and machine translation,0,13
25,25,recent advances in machine learning are the result of improvements to algorithms increases in funding huge growth in the amount of data created and stored by digital systems increased access to computational power and the expansion of cloud computing,0,13
26,26,machine learning can be supervised learning which allows an ai model to learn from labelled training data for example training a model to help tag content on gov uk,0,13
27,27,unsupervised learning which is training an ai algorithm to use unlabelled and unclassified information,0,13
28,28,reinforcement learning which allows an ai model to learn as it performs a task,0,13
29,29,each year  testers conduct  million mot tests in  garages across great britain,0,25
30,30,the driver and vehicle standards agency dvsa developed an approach that applies a clustering model to analyse vast amount of testing data which it then combines with day to day operations to develop a continually evolving risk score for garages and their testers,0,3
31,31,from this the dvsa is able to direct its enforcement officers attention to garages or mot testers who may be either underperforming or committing fraud,0,12
32,32,by identifying areas of concern in advance the examiners preparation time for enforcement visits has fallen by,0,12
33,33,the department for international development partnered with the university of southampton columbia university and the united nations population fund to apply a random forest machine learning algorithm to satellite image and micro census data,0,13
34,34,the algorithm then used this information to predict the population density of an area,0,13
35,35,the model also used data from micro censuses to validate its outputs and provide valuable training data for the model,0,13
36,36,ai can benefit the public sector in a number of ways,0,17
37,37,for example it can provide more accurate information forecasts and predictions leading to better outcomes for example more accurate medical diagnoses,0,13
38,38,produce a positive social impact by using ai to provide solutions for some of the worlds most challenging social problems,0,4
39,39,simulate complex systems that allow policy makers to experiment with different policy options and spot unintended consequences before committing to a measure,0,17
40,40,improve public services for example providing service providers moreaccurate and detailed information of citizens with similar needs or interests to provide personalised public services tailored to individual circumstances,0,17
41,41,automate repetitive and time consuming tasks which frees up valuable time of frontline staff,0,22
42,42,ai is not a general purpose solution which can solve every problem,0,4
43,43,current applications of ai focus on performing narrowly defined tasks,0,4
44,44,ai generally cannot be imaginative perform well without a large quantity of relevant high quality data infer additional context if the information is not present in the data,0,4
45,45,even if ai can help you meet some user needs simpler solutions may be more effective and less expensive,0,4
46,46,for example optical character recognition technology can extract information from scans of passports,0,12
47,47,however a digital form requiring manual input might be more accurate quicker to build and cheaper,0,25
48,48,youll need to investigate alternative mature technology solutions thoroughly to check if this is the case,0,25
49,49,in supervised learning the objective is to make predictions using a set of data,0,13
50,50,to do this the ai model is trained against a dataset a training set a subset to train the model and a test set a subset to test the trained model,0,13
51,51,the data has been tagged with one or more labels,0,13
52,52,n unsupervised learning the objective is to make predictions using data where there are no labels for example pictures,0,13
53,53,often this involves looking for patterns in the dataset and grouping related data points together a common example of grouping data is clustering,0,13
54,54,in reinforcement learning the objective is to make predictions which accomplish a specific goal,0,13
55,55,the ai model uses a trial and error approach when making its decisions starting from totally random trials and finishing with sophisticated tactics,0,21
56,56,a familiar example is chess where the goal of the ai model is to checkmate the opponent after having taught itself how to play,0,4
57,57,with an ai project you should consider a number of factors including ai ethics and safety,0,16
58,58,these factors span safety ethical legal and administrative concerns and include but are not limited to data quality the success of your ai project depends on the quality of your data,0,3
59,59,fairness are the models trained and tested on relevant accurate and generalisable datasets and is the ai system deployed by users trained to implement them responsibly and without bias,0,6
60,60,accountability consider who is responsible for each element of the models output and how the designers and implementers of ai systems will be held accountable,0,16
61,61,privacy complying with appropriate data policies for example the general data protection regulations gdpr and the data protection act  explainability and transparency so the affected stakeholders can know how the ai model reached its decision,0,11
62,62,costs consider how much it will cost to build run and maintain an ai infrastructure train and educate staff and if the work to install ai may outweigh any potential savings,0,4
63,63,youll need to make sure your ai system is compliant with gdpr and the data protection act  dpa  including the points which relate to automated decision making,0,21
64,64,we recommend discussing this with legal advisors,0,10
65,65,automated decisions in this context are decisions made without human intervention which have legal or similarly significant effects on data subjects,0,21
66,66,for example an online decision to award a business grant,0,21
67,67,if you want to use automated processes to make decisions with legal or similarly significant effects on individuals you must follow the safeguards laid out in the gdpr and dpa,0,21
68,68,this includes making sure you provide users with specific and easily accessible information about the automated decision making process,0,21
69,69,a simple way to obtain human intervention to review and potentially change the decision,0,21
70,70,remember to make sure your use of automated decision making does not conflict with any other laws or regulations,0,21
71,71,you should consider both the final decision and any automated decisions which significantly affected the decision making process,0,21
72,72,read the working party guidance on automated individual decision making and profiling for more information,0,21
73,73,ai is just another technology tool to help deliver services,0,4
74,74,designing any service starts with identifying user needs,0,27
75,75,if you think ai may be an appropriate technology choice to help you meet user needs you will need to consider your data and the specific technology you want to use,0,21
76,76,your data scientists will then use your data to build and train an ai model,0,13
77,77,when assessing if ai could help you meet users needs consider if theres data containing the information you need even if disguised or buried,0,9
78,78,consider if its ethical and safe to use the data refer to the data ethics framework,0,9
79,79,consider if you have a the right sort of data for the ai model to learn from,0,21
80,80,consider if the task is large scale and repetitive enough that a human would struggle to carry it out,0,4
81,81,consider if it would provide information a team could use to achieve outcomes in the real world,0,0
82,82,its important to remember that ai is not an all purpose solution,0,4
83,83,unlike a human ai cannot infer and can only produce an output based on the data a team inputs to the model,0,4
84,84,when identifying whether ai is the right solution its important that you work with specialists who have a good knowledge of your data and the problem youre trying to solve such as data scientists,0,4
85,85,at least one domain knowledge expert who knows the environment where you will be deploying the ai model results,0,20
86,86,because of its experimental and iterative nature it can be difficult to specify the precise benefits which could come from an ai project,0,4
87,87,to explore this uncertainty and provide the right level of information around the potential benefits you can carry out some initial analysis on your data to help you understand how hard the problem is and how likely the projects success would be,0,0
88,88,build your business case around a small scale proof of concept poc and use its results to prove your hypothesis,0,0
89,89,once you have secured budget youll need to allow enough time and resources to conduct a substantial discovery to show feasibility,0,25
90,90,discovery for projects using ai can often takes longer for similar projects that do not use ai,0,4
91,91,if your organisation is a central government department you may have to get approval from the gds to spend money on ai,0,25
92,92,at this point most ai projects are classified as novel which requires a high level of scrutiny,0,18
93,93,you should contact the gds standards assurance team for help on the spend controls process,0,22
